,brand,lang,type,count,year,month
53,GLOBEXCORPORATION,DK,video,561,2009,03
54,GLOBEXCORPORATION,DK,article,716,2009,04
55,GLOBEXCORPORATION,DK,multimedia,44,2009,04
56,GLOBEXCORPORATION,DK,video,527,2009,04
57,GLOBEXCORPORATION,DK,article,705,2009,05
58,GLOBEXCORPORATION,DK,multimedia,39,2009,05
59,GLOBEXCORPORATION,DK,video,636,2009,05
60,GLOBEXCORPORATION,DK,article,679,2009,06
61,GLOBEXCORPORATION,DK,multimedia,56,2009,06
62,GLOBEXCORPORATION,DK,video,649,2009,06
63,GLOBEXCORPORATION,DK,article,768,2009,07
64,GLOBEXCORPORATION,DK,multimedia,33,2009,07
65,GLOBEXCORPORATION,DK,video,662,2009,07
66,GLOBEXCORPORATION,DK,article,267,2009,08
67,GLOBEXCORPORATION,DK,multimedia,40,2009,08
68,GLOBEXCORPORATION,DK,video,628,2009,08
69,GLOBEXCORPORATION,DK,multimedia,26,2009,09
70,GLOBEXCORPORATION,DK,video,616,2009,09
71,GLOBEXCORPORATION,DK,article,428,2009,10
72,GLOBEXCORPORATION,DK,edition,39,2009,10
73,GLOBEXCORPORATION,DK,frontpage,14,2009,10
74,GLOBEXCORPORATION,DK,link,4,2009,10
75,GLOBEXCORPORATION,DK,multimedia,76,2009,10
76,GLOBEXCORPORATION,DK,page,6,2009,10
77,GLOBEXCORPORATION,DK,program,10,2009,10
78,GLOBEXCORPORATION,DK,video,658,2009,10
79,GLOBEXCORPORATION,DK,article,640,2009,11
80,GLOBEXCORPORATION,DK,edition,23,2009,11
81,GLOBEXCORPORATION,DK,link,3,2009,11
82,GLOBEXCORPORATION,DK,multimedia,67,2009,11
83,GLOBEXCORPORATION,DK,page,1,2009,11
84,GLOBEXCORPORATION,DK,video,528,2009,11
85,GLOBEXCORPORATION,DK,article,629,2009,12
86,GLOBEXCORPORATION,DK,edition,23,2009,12
87,GLOBEXCORPORATION,DK,multimedia,131,2009,12
88,GLOBEXCORPORATION,DK,video,607,2009,12
89,GLOBEXCORPORATION,DK,article,593,2010,01
90,GLOBEXCORPORATION,DK,edition,31,2010,01
91,GLOBEXCORPORATION,DK,link,6,2010,01
92,GLOBEXCORPORATION,DK,multimedia,178,2010,01
93,GLOBEXCORPORATION,DK,page,1,2010,01
94,GLOBEXCORPORATION,DK,video,655,2010,01
95,GLOBEXCORPORATION,DK,article,588,2010,02
96,GLOBEXCORPORATION,DK,edition,66,2010,02
97,GLOBEXCORPORATION,DK,link,2,2010,02
98,GLOBEXCORPORATION,DK,multimedia,164,2010,02
99,GLOBEXCORPORATION,DK,page,1,2010,02
100,GLOBEXCORPORATION,DK,program,1,2010,02
101,GLOBEXCORPORATION,DK,video,577,2010,02
102,GLOBEXCORPORATION,DK,article,558,2010,03
103,GLOBEXCORPORATION,DK,edition,78,2010,03
104,GLOBEXCORPORATION,DK,link,4,2010,03
105,GLOBEXCORPORATION,DK,multimedia,233,2010,03
106,GLOBEXCORPORATION,DK,page,2,2010,03
107,GLOBEXCORPORATION,DK,video,732,2010,03
108,GLOBEXCORPORATION,DK,article,559,2010,04
109,GLOBEXCORPORATION,DK,edition,58,2010,04
110,GLOBEXCORPORATION,DK,link,6,2010,04
111,GLOBEXCORPORATION,DK,multimedia,216,2010,04
112,GLOBEXCORPORATION,DK,page,2,2010,04
113,GLOBEXCORPORATION,DK,video,673,2010,04
114,GLOBEXCORPORATION,DK,article,549,2010,05
115,GLOBEXCORPORATION,DK,edition,62,2010,05
116,GLOBEXCORPORATION,DK,link,4,2010,05
117,GLOBEXCORPORATION,DK,multimedia,122,2010,05
118,GLOBEXCORPORATION,DK,video,666,2010,05
119,GLOBEXCORPORATION,DK,article,499,2010,06
120,GLOBEXCORPORATION,DK,edition,51,2010,06
121,GLOBEXCORPORATION,DK,link,5,2010,06
122,GLOBEXCORPORATION,DK,multimedia,155,2010,06
123,GLOBEXCORPORATION,DK,page,1,2010,06
124,GLOBEXCORPORATION,DK,video,767,2010,06
125,GLOBEXCORPORATION,DK,article,453,2010,07
126,GLOBEXCORPORATION,DK,edition,54,2010,07
127,GLOBEXCORPORATION,DK,link,8,2010,07
128,GLOBEXCORPORATION,DK,multimedia,100,2010,07
129,GLOBEXCORPORATION,DK,video,793,2010,07
130,GLOBEXCORPORATION,DK,article,449,2010,08
131,GLOBEXCORPORATION,DK,edition,41,2010,08
132,GLOBEXCORPORATION,DK,link,4,2010,08
133,GLOBEXCORPORATION,DK,multimedia,126,2010,08
134,GLOBEXCORPORATION,DK,sound,178,2010,08
135,GLOBEXCORPORATION,DK,video,719,2010,08
136,GLOBEXCORPORATION,DK,article,429,2010,09
137,GLOBEXCORPORATION,DK,edition,58,2010,09
138,GLOBEXCORPORATION,DK,multimedia,196,2010,09
139,GLOBEXCORPORATION,DK,page,1,2010,09
140,GLOBEXCORPORATION,DK,sound,261,2010,09
141,GLOBEXCORPORATION,DK,video,957,2010,09
142,GLOBEXCORPORATION,DK,article,447,2010,10
143,GLOBEXCORPORATION,DK,edition,54,2010,10
144,GLOBEXCORPORATION,DK,link,4,2010,10
145,GLOBEXCORPORATION,DK,multimedia,145,2010,10
146,GLOBEXCORPORATION,DK,program,2,2010,10
147,GLOBEXCORPORATION,DK,sound,274,2010,10
148,GLOBEXCORPORATION,DK,video,1785,2010,10
149,GLOBEXCORPORATION,DK,article,511,2010,11
150,GLOBEXCORPORATION,DK,edition,59,2010,11
151,GLOBEXCORPORATION,DK,link,3,2010,11
152,GLOBEXCORPORATION,DK,multimedia,205,2010,11
153,GLOBEXCORPORATION,DK,program,2,2010,11
154,GLOBEXCORPORATION,DK,sound,271,2010,11
155,GLOBEXCORPORATION,DK,video,2045,2010,11
156,GLOBEXCORPORATION,DK,article,471,2010,12
157,GLOBEXCORPORATION,DK,edition,56,2010,12
158,GLOBEXCORPORATION,DK,link,2,2010,12
159,GLOBEXCORPORATION,DK,multimedia,184,2010,12
160,GLOBEXCORPORATION,DK,sound,268,2010,12
161,GLOBEXCORPORATION,DK,video,1979,2010,12
162,GLOBEXCORPORATION,DK,article,507,2011,01
163,GLOBEXCORPORATION,DK,edition,52,2011,01
164,GLOBEXCORPORATION,DK,link,2,2011,01
165,GLOBEXCORPORATION,DK,multimedia,195,2011,01
166,GLOBEXCORPORATION,DK,page,1,2011,01
167,GLOBEXCORPORATION,DK,sound,259,2011,01
168,GLOBEXCORPORATION,DK,video,2048,2011,01
169,GLOBEXCORPORATION,DK,article,418,2011,02
170,GLOBEXCORPORATION,DK,edition,80,2011,02
171,GLOBEXCORPORATION,DK,link,4,2011,02
172,GLOBEXCORPORATION,DK,multimedia,168,2011,02
173,GLOBEXCORPORATION,DK,sound,264,2011,02
174,GLOBEXCORPORATION,DK,video,1748,2011,02
175,GLOBEXCORPORATION,DK,article,445,2011,03
176,GLOBEXCORPORATION,DK,edition,96,2011,03
177,GLOBEXCORPORATION,DK,frontpage,1,2011,03
178,GLOBEXCORPORATION,DK,link,1,2011,03
179,GLOBEXCORPORATION,DK,multimedia,209,2011,03
180,GLOBEXCORPORATION,DK,page,1,2011,03
181,GLOBEXCORPORATION,DK,sound,302,2011,03
182,GLOBEXCORPORATION,DK,video,1978,2011,03
183,GLOBEXCORPORATION,DK,article,478,2011,04
184,GLOBEXCORPORATION,DK,edition,69,2011,04
185,GLOBEXCORPORATION,DK,multimedia,160,2011,04
186,GLOBEXCORPORATION,DK,page,1,2011,04
187,GLOBEXCORPORATION,DK,sound,246,2011,04
188,GLOBEXCORPORATION,DK,video,1700,2011,04
189,GLOBEXCORPORATION,DK,article,473,2011,05
190,GLOBEXCORPORATION,DK,edition,86,2011,05
191,GLOBEXCORPORATION,DK,multimedia,297,2011,05
192,GLOBEXCORPORATION,DK,sound,307,2011,05
193,GLOBEXCORPORATION,DK,video,1917,2011,05
194,GLOBEXCORPORATION,DK,article,467,2011,06
195,GLOBEXCORPORATION,DK,edition,60,2011,06
196,GLOBEXCORPORATION,DK,link,4,2011,06
197,GLOBEXCORPORATION,DK,multimedia,153,2011,06
198,GLOBEXCORPORATION,DK,page,1,2011,06
199,GLOBEXCORPORATION,DK,sound,265,2011,06
200,GLOBEXCORPORATION,DK,video,1841,2011,06
201,GLOBEXCORPORATION,DK,article,548,2011,07
202,GLOBEXCORPORATION,DK,edition,79,2011,07
203,GLOBEXCORPORATION,DK,link,1,2011,07
204,GLOBEXCORPORATION,DK,multimedia,174,2011,07
205,GLOBEXCORPORATION,DK,sound,218,2011,07
206,GLOBEXCORPORATION,DK,video,1741,2011,07
207,GLOBEXCORPORATION,DK,article,455,2011,08
208,GLOBEXCORPORATION,DK,edition,65,2011,08
209,GLOBEXCORPORATION,DK,link,12,2011,08
210,GLOBEXCORPORATION,DK,multimedia,187,2011,08
211,GLOBEXCORPORATION,DK,page,1,2011,08
212,GLOBEXCORPORATION,DK,sound,241,2011,08
213,GLOBEXCORPORATION,DK,video,1825,2011,08
214,GLOBEXCORPORATION,DK,article,483,2011,09
215,GLOBEXCORPORATION,DK,author,1,2011,09
216,GLOBEXCORPORATION,DK,edition,77,2011,09
217,GLOBEXCORPORATION,DK,link,38,2011,09
218,GLOBEXCORPORATION,DK,multimedia,196,2011,09
219,GLOBEXCORPORATION,DK,program,1,2011,09
220,GLOBEXCORPORATION,DK,sound,294,2011,09
221,GLOBEXCORPORATION,DK,video,1806,2011,09
222,GLOBEXCORPORATION,DK,article,555,2011,10
223,GLOBEXCORPORATION,DK,edition,81,2011,10
224,GLOBEXCORPORATION,DK,frontpage,1,2011,10
225,GLOBEXCORPORATION,DK,link,19,2011,10
226,GLOBEXCORPORATION,DK,multimedia,181,2011,10
227,GLOBEXCORPORATION,DK,page,1,2011,10
228,GLOBEXCORPORATION,DK,sound,288,2011,10
229,GLOBEXCORPORATION,DK,video,1734,2011,10
230,GLOBEXCORPORATION,DK,article,482,2011,11
231,GLOBEXCORPORATION,DK,author,3,2011,11
232,GLOBEXCORPORATION,DK,edition,83,2011,11
233,GLOBEXCORPORATION,DK,link,26,2011,11
234,GLOBEXCORPORATION,DK,multimedia,174,2011,11
235,GLOBEXCORPORATION,DK,page,1,2011,11
236,GLOBEXCORPORATION,DK,sound,259,2011,11
237,GLOBEXCORPORATION,DK,video,1753,2011,11
238,GLOBEXCORPORATION,DK,article,521,2011,12
239,GLOBEXCORPORATION,DK,author,3,2011,12
240,GLOBEXCORPORATION,DK,edition,73,2011,12
241,GLOBEXCORPORATION,DK,link,20,2011,12
242,GLOBEXCORPORATION,DK,multimedia,134,2011,12
243,GLOBEXCORPORATION,DK,page,1,2011,12
244,GLOBEXCORPORATION,DK,sound,286,2011,12
245,GLOBEXCORPORATION,DK,video,1832,2011,12
246,GLOBEXCORPORATION,DK,article,551,2012,01
247,GLOBEXCORPORATION,DK,author,2,2012,01
248,GLOBEXCORPORATION,DK,edition,92,2012,01
249,GLOBEXCORPORATION,DK,link,42,2012,01
250,GLOBEXCORPORATION,DK,multimedia,221,2012,01
251,GLOBEXCORPORATION,DK,sound,323,2012,01
252,GLOBEXCORPORATION,DK,video,1859,2012,01
253,GLOBEXCORPORATION,DK,article,529,2012,02
254,GLOBEXCORPORATION,DK,edition,87,2012,02
255,GLOBEXCORPORATION,DK,link,29,2012,02
256,GLOBEXCORPORATION,DK,multimedia,194,2012,02
257,GLOBEXCORPORATION,DK,sound,306,2012,02
258,GLOBEXCORPORATION,DK,video,1647,2012,02
259,GLOBEXCORPORATION,DK,article,549,2012,03
260,GLOBEXCORPORATION,DK,edition,109,2012,03
261,GLOBEXCORPORATION,DK,frontpage,1,2012,03
262,GLOBEXCORPORATION,DK,link,31,2012,03
263,GLOBEXCORPORATION,DK,multimedia,230,2012,03
264,GLOBEXCORPORATION,DK,page,3,2012,03
265,GLOBEXCORPORATION,DK,sound,322,2012,03
266,GLOBEXCORPORATION,DK,video,1574,2012,03
267,GLOBEXCORPORATION,DK,article,615,2012,04
268,GLOBEXCORPORATION,DK,author,2,2012,04
269,GLOBEXCORPORATION,DK,edition,110,2012,04
270,GLOBEXCORPORATION,DK,frontpage,3,2012,04
271,GLOBEXCORPORATION,DK,link,22,2012,04
272,GLOBEXCORPORATION,DK,multimedia,264,2012,04
273,GLOBEXCORPORATION,DK,page,1,2012,04
274,GLOBEXCORPORATION,DK,sound,295,2012,04
275,GLOBEXCORPORATION,DK,video,821,2012,04
276,GLOBEXCORPORATION,DK,article,627,2012,05
277,GLOBEXCORPORATION,DK,edition,86,2012,05
278,GLOBEXCORPORATION,DK,frontpage,2,2012,05
279,GLOBEXCORPORATION,DK,link,24,2012,05
280,GLOBEXCORPORATION,DK,multimedia,284,2012,05
281,GLOBEXCORPORATION,DK,sound,314,2012,05
282,GLOBEXCORPORATION,DK,video,822,2012,05
283,GLOBEXCORPORATION,DK,article,644,2012,06
284,GLOBEXCORPORATION,DK,edition,79,2012,06
285,GLOBEXCORPORATION,DK,frontpage,1,2012,06
286,GLOBEXCORPORATION,DK,link,31,2012,06
287,GLOBEXCORPORATION,DK,multimedia,242,2012,06
288,GLOBEXCORPORATION,DK,page,2,2012,06
289,GLOBEXCORPORATION,DK,sound,327,2012,06
290,GLOBEXCORPORATION,DK,video,809,2012,06
291,GLOBEXCORPORATION,DK,article,668,2012,07
292,GLOBEXCORPORATION,DK,author,2,2012,07
293,GLOBEXCORPORATION,DK,edition,113,2012,07
294,GLOBEXCORPORATION,DK,link,37,2012,07
295,GLOBEXCORPORATION,DK,multimedia,208,2012,07
296,GLOBEXCORPORATION,DK,page,4,2012,07
297,GLOBEXCORPORATION,DK,sound,295,2012,07
298,GLOBEXCORPORATION,DK,video,785,2012,07
299,GLOBEXCORPORATION,DK,article,610,2012,08
300,GLOBEXCORPORATION,DK,author,2,2012,08
301,GLOBEXCORPORATION,DK,edition,113,2012,08
302,GLOBEXCORPORATION,DK,link,29,2012,08
303,GLOBEXCORPORATION,DK,multimedia,168,2012,08
304,GLOBEXCORPORATION,DK,page,1,2012,08
305,GLOBEXCORPORATION,DK,sound,224,2012,08
306,GLOBEXCORPORATION,DK,video,803,2012,08
307,GLOBEXCORPORATION,DK,article,548,2012,09
308,GLOBEXCORPORATION,DK,edition,120,2012,09
309,GLOBEXCORPORATION,DK,link,23,2012,09
310,GLOBEXCORPORATION,DK,multimedia,157,2012,09
311,GLOBEXCORPORATION,DK,page,2,2012,09
312,GLOBEXCORPORATION,DK,sound,281,2012,09
313,GLOBEXCORPORATION,DK,video,763,2012,09
314,GLOBEXCORPORATION,DK,article,602,2012,10
315,GLOBEXCORPORATION,DK,author,1,2012,10
316,GLOBEXCORPORATION,DK,edition,129,2012,10
317,GLOBEXCORPORATION,DK,link,25,2012,10
318,GLOBEXCORPORATION,DK,multimedia,209,2012,10
319,GLOBEXCORPORATION,DK,sound,302,2012,10
320,GLOBEXCORPORATION,DK,video,832,2012,10
321,GLOBEXCORPORATION,DK,article,534,2012,11
322,GLOBEXCORPORATION,DK,edition,151,2012,11
323,GLOBEXCORPORATION,DK,link,28,2012,11
324,GLOBEXCORPORATION,DK,multimedia,182,2012,11
325,GLOBEXCORPORATION,DK,sound,286,2012,11
326,GLOBEXCORPORATION,DK,video,767,2012,11
327,GLOBEXCORPORATION,DK,article,608,2012,12
328,GLOBEXCORPORATION,DK,edition,114,2012,12
329,GLOBEXCORPORATION,DK,frontpage,2,2012,12
330,GLOBEXCORPORATION,DK,link,25,2012,12
331,GLOBEXCORPORATION,DK,multimedia,208,2012,12
332,GLOBEXCORPORATION,DK,program,1,2012,12
333,GLOBEXCORPORATION,DK,sound,256,2012,12
334,GLOBEXCORPORATION,DK,video,789,2012,12
335,GLOBEXCORPORATION,DK,article,637,2013,01
336,GLOBEXCORPORATION,DK,author,1,2013,01
337,GLOBEXCORPORATION,DK,edition,97,2013,01
338,GLOBEXCORPORATION,DK,frontpage,2,2013,01
339,GLOBEXCORPORATION,DK,link,26,2013,01
340,GLOBEXCORPORATION,DK,multimedia,272,2013,01
341,GLOBEXCORPORATION,DK,program,1,2013,01
342,GLOBEXCORPORATION,DK,sound,348,2013,01
343,GLOBEXCORPORATION,DK,video,787,2013,01
344,GLOBEXCORPORATION,DK,article,595,2013,02
345,GLOBEXCORPORATION,DK,edition,97,2013,02
346,GLOBEXCORPORATION,DK,link,23,2013,02
347,GLOBEXCORPORATION,DK,multimedia,249,2013,02
348,GLOBEXCORPORATION,DK,sound,271,2013,02
349,GLOBEXCORPORATION,DK,video,688,2013,02
350,GLOBEXCORPORATION,DK,article,659,2013,03
351,GLOBEXCORPORATION,DK,edition,114,2013,03
352,GLOBEXCORPORATION,DK,frontpage,2,2013,03
353,GLOBEXCORPORATION,DK,link,22,2013,03
354,GLOBEXCORPORATION,DK,multimedia,151,2013,03
355,GLOBEXCORPORATION,DK,sound,1,2013,03
356,GLOBEXCORPORATION,DK,video,752,2013,03
357,GLOBEXCORPORATION,DK,article,604,2013,04
358,GLOBEXCORPORATION,DK,edition,96,2013,04
359,GLOBEXCORPORATION,DK,link,26,2013,04
360,GLOBEXCORPORATION,DK,multimedia,87,2013,04
361,GLOBEXCORPORATION,DK,video,707,2013,04
362,GLOBEXCORPORATION,DK,article,665,2013,05
363,GLOBEXCORPORATION,DK,author,2,2013,05
364,GLOBEXCORPORATION,DK,edition,109,2013,05
365,GLOBEXCORPORATION,DK,frontpage,1,2013,05
366,GLOBEXCORPORATION,DK,link,26,2013,05
367,GLOBEXCORPORATION,DK,multimedia,155,2013,05
368,GLOBEXCORPORATION,DK,video,754,2013,05
369,GLOBEXCORPORATION,DK,article,601,2013,06
370,GLOBEXCORPORATION,DK,edition,90,2013,06
371,GLOBEXCORPORATION,DK,link,21,2013,06
372,GLOBEXCORPORATION,DK,multimedia,150,2013,06
373,GLOBEXCORPORATION,DK,program,1,2013,06
374,GLOBEXCORPORATION,DK,video,736,2013,06
375,GLOBEXCORPORATION,DK,article,629,2013,07
376,GLOBEXCORPORATION,DK,author,1,2013,07
377,GLOBEXCORPORATION,DK,edition,99,2013,07
378,GLOBEXCORPORATION,DK,frontpage,1,2013,07
379,GLOBEXCORPORATION,DK,link,31,2013,07
380,GLOBEXCORPORATION,DK,multimedia,188,2013,07
381,GLOBEXCORPORATION,DK,video,785,2013,07
382,GLOBEXCORPORATION,DK,article,620,2013,08
383,GLOBEXCORPORATION,DK,edition,88,2013,08
384,GLOBEXCORPORATION,DK,link,25,2013,08
385,GLOBEXCORPORATION,DK,multimedia,177,2013,08
386,GLOBEXCORPORATION,DK,sound,1216,2013,08
387,GLOBEXCORPORATION,DK,video,739,2013,08
388,GLOBEXCORPORATION,DK,article,589,2013,09
389,GLOBEXCORPORATION,DK,author,1,2013,09
390,GLOBEXCORPORATION,DK,edition,142,2013,09
391,GLOBEXCORPORATION,DK,link,26,2013,09
392,GLOBEXCORPORATION,DK,multimedia,150,2013,09
393,GLOBEXCORPORATION,DK,program,5,2013,09
394,GLOBEXCORPORATION,DK,sound,1372,2013,09
395,GLOBEXCORPORATION,DK,video,766,2013,09
396,GLOBEXCORPORATION,DK,article,586,2013,10
397,GLOBEXCORPORATION,DK,edition,182,2013,10
398,GLOBEXCORPORATION,DK,link,34,2013,10
399,GLOBEXCORPORATION,DK,multimedia,148,2013,10
400,GLOBEXCORPORATION,DK,program,1,2013,10
401,GLOBEXCORPORATION,DK,sound,1420,2013,10
402,GLOBEXCORPORATION,DK,video,731,2013,10
403,GLOBEXCORPORATION,DK,article,554,2013,11
404,GLOBEXCORPORATION,DK,author,37,2013,11
405,GLOBEXCORPORATION,DK,edition,137,2013,11
406,GLOBEXCORPORATION,DK,link,22,2013,11
407,GLOBEXCORPORATION,DK,multimedia,132,2013,11
408,GLOBEXCORPORATION,DK,page,3,2013,11
409,GLOBEXCORPORATION,DK,program,2,2013,11
410,GLOBEXCORPORATION,DK,sound,1173,2013,11
411,GLOBEXCORPORATION,DK,video,677,2013,11
412,GLOBEXCORPORATION,DK,article,482,2013,12
413,GLOBEXCORPORATION,DK,author,3,2013,12
414,GLOBEXCORPORATION,DK,edition,193,2013,12
415,GLOBEXCORPORATION,DK,link,21,2013,12
416,GLOBEXCORPORATION,DK,multimedia,127,2013,12
417,GLOBEXCORPORATION,DK,page,2,2013,12
418,GLOBEXCORPORATION,DK,program,7,2013,12
419,GLOBEXCORPORATION,DK,sound,855,2013,12
420,GLOBEXCORPORATION,DK,video,717,2013,12
421,GLOBEXCORPORATION,DK,article,520,2014,01
422,GLOBEXCORPORATION,DK,edition,259,2014,01
423,GLOBEXCORPORATION,DK,link,18,2014,01
424,GLOBEXCORPORATION,DK,multimedia,74,2014,01
425,GLOBEXCORPORATION,DK,sound,930,2014,01
426,GLOBEXCORPORATION,DK,video,712,2014,01
427,GLOBEXCORPORATION,DK,article,505,2014,02
428,GLOBEXCORPORATION,DK,edition,237,2014,02
429,GLOBEXCORPORATION,DK,frontpage,2,2014,02
430,GLOBEXCORPORATION,DK,link,19,2014,02
431,GLOBEXCORPORATION,DK,multimedia,76,2014,02
432,GLOBEXCORPORATION,DK,sound,852,2014,02
433,GLOBEXCORPORATION,DK,video,682,2014,02
434,GLOBEXCORPORATION,DK,article,543,2014,03
435,GLOBEXCORPORATION,DK,edition,230,2014,03
436,GLOBEXCORPORATION,DK,frontpage,1,2014,03
437,GLOBEXCORPORATION,DK,link,21,2014,03
438,GLOBEXCORPORATION,DK,multimedia,71,2014,03
439,GLOBEXCORPORATION,DK,sound,913,2014,03
440,GLOBEXCORPORATION,DK,video,748,2014,03
441,GLOBEXCORPORATION,DK,article,530,2014,04
442,GLOBEXCORPORATION,DK,edition,232,2014,04
443,GLOBEXCORPORATION,DK,link,26,2014,04
444,GLOBEXCORPORATION,DK,multimedia,66,2014,04
445,GLOBEXCORPORATION,DK,sound,863,2014,04
446,GLOBEXCORPORATION,DK,video,742,2014,04
447,GLOBEXCORPORATION,DK,article,644,2014,05
448,GLOBEXCORPORATION,DK,author,1,2014,05
449,GLOBEXCORPORATION,DK,edition,166,2014,05
450,GLOBEXCORPORATION,DK,link,22,2014,05
451,GLOBEXCORPORATION,DK,multimedia,115,2014,05
452,GLOBEXCORPORATION,DK,sound,887,2014,05
453,GLOBEXCORPORATION,DK,video,744,2014,05
454,GLOBEXCORPORATION,DK,article,564,2014,06
455,GLOBEXCORPORATION,DK,edition,221,2014,06
456,GLOBEXCORPORATION,DK,frontpage,1,2014,06
457,GLOBEXCORPORATION,DK,link,25,2014,06
458,GLOBEXCORPORATION,DK,multimedia,121,2014,06
459,GLOBEXCORPORATION,DK,sound,837,2014,06
460,GLOBEXCORPORATION,DK,video,672,2014,06
461,GLOBEXCORPORATION,DK,article,552,2014,07
462,GLOBEXCORPORATION,DK,edition,207,2014,07
463,GLOBEXCORPORATION,DK,infographic,1,2014,07
464,GLOBEXCORPORATION,DK,link,26,2014,07
465,GLOBEXCORPORATION,DK,multimedia,151,2014,07
466,GLOBEXCORPORATION,DK,page,1,2014,07
467,GLOBEXCORPORATION,DK,parameter,6,2014,07
468,GLOBEXCORPORATION,DK,sound,845,2014,07
469,GLOBEXCORPORATION,DK,video,678,2014,07
470,GLOBEXCORPORATION,DK,article,566,2014,08
471,GLOBEXCORPORATION,DK,edition,168,2014,08
472,GLOBEXCORPORATION,DK,infographic,1,2014,08
473,GLOBEXCORPORATION,DK,link,23,2014,08
474,GLOBEXCORPORATION,DK,multimedia,74,2014,08
475,GLOBEXCORPORATION,DK,parameter,6,2014,08
476,GLOBEXCORPORATION,DK,program,1,2014,08
477,GLOBEXCORPORATION,DK,sound,827,2014,08
478,GLOBEXCORPORATION,DK,video,669,2014,08
479,GLOBEXCORPORATION,DK,article,538,2014,09
480,GLOBEXCORPORATION,DK,author,1,2014,09
481,GLOBEXCORPORATION,DK,edition,212,2014,09
482,GLOBEXCORPORATION,DK,link,35,2014,09
483,GLOBEXCORPORATION,DK,multimedia,33,2014,09
484,GLOBEXCORPORATION,DK,parameter,2,2014,09
485,GLOBEXCORPORATION,DK,program,2,2014,09
486,GLOBEXCORPORATION,DK,sound,877,2014,09
487,GLOBEXCORPORATION,DK,video,639,2014,09
488,GLOBEXCORPORATION,DK,article,620,2014,10
489,GLOBEXCORPORATION,DK,edition,273,2014,10
490,GLOBEXCORPORATION,DK,frontpage,1,2014,10
491,GLOBEXCORPORATION,DK,infographic,1,2014,10
492,GLOBEXCORPORATION,DK,link,41,2014,10
493,GLOBEXCORPORATION,DK,multimedia,55,2014,10
494,GLOBEXCORPORATION,DK,sound,939,2014,10
495,GLOBEXCORPORATION,DK,video,781,2014,10
496,GLOBEXCORPORATION,DK,article,570,2014,11
497,GLOBEXCORPORATION,DK,author,1,2014,11
498,GLOBEXCORPORATION,DK,edition,272,2014,11
499,GLOBEXCORPORATION,DK,frontpage,1,2014,11
500,GLOBEXCORPORATION,DK,link,29,2014,11
501,GLOBEXCORPORATION,DK,multimedia,61,2014,11
