country,year,gender,age,suicides_no,population,suicides_100k_pop,HDI,gdp,gdp_per_capita,generation,iso,iso_alpha,region,sub_region
Albania,1989,female,5-14 years,0,321900,0.0,0.7766011477761837,2335124988,833,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1989,female,75+ years,0,37000,0.0,0.7766011477761837,2335124988,833,G.I. Generation,ALB,ALB,Europe,Southern Europe
Albania,1989,male,5-14 years,0,349700,0.0,0.7766011477761837,2335124988,833,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1992,male,35-54 years,12,343800,3.49,0.7766011477761837,709452584,251,Boomers,ALB,ALB,Europe,Southern Europe
Albania,1992,male,15-24 years,9,263700,3.41,0.7766011477761837,709452584,251,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1992,male,55-74 years,5,159500,3.13,0.7766011477761837,709452584,251,Silent,ALB,ALB,Europe,Southern Europe
Albania,1992,male,25-34 years,7,245500,2.85,0.7766011477761837,709452584,251,Boomers,ALB,ALB,Europe,Southern Europe
Albania,1992,female,15-24 years,7,292400,2.39,0.7766011477761837,709452584,251,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1992,female,25-34 years,4,267400,1.5,0.7766011477761837,709452584,251,Boomers,ALB,ALB,Europe,Southern Europe
Albania,1992,female,35-54 years,2,323100,0.62,0.7766011477761837,709452584,251,Boomers,ALB,ALB,Europe,Southern Europe
Albania,1992,female,55-74 years,1,164900,0.61,0.7766011477761837,709452584,251,Silent,ALB,ALB,Europe,Southern Europe
Albania,1992,female,5-14 years,0,336700,0.0,0.7766011477761837,709452584,251,Millenials,ALB,ALB,Europe,Southern Europe
Albania,1992,female,75+ years,0,38700,0.0,0.7766011477761837,709452584,251,G.I. Generation,ALB,ALB,Europe,Southern Europe
Albania,1992,male,5-14 years,0,362900,0.0,0.7766011477761837,709452584,251,Millenials,ALB,ALB,Europe,Southern Europe
Albania,1992,male,75+ years,0,23900,0.0,0.7766011477761837,709452584,251,G.I. Generation,ALB,ALB,Europe,Southern Europe
Albania,1993,male,15-24 years,18,243300,7.4,0.7766011477761837,1228071038,437,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1993,male,55-74 years,7,165000,4.24,0.7766011477761837,1228071038,437,Silent,ALB,ALB,Europe,Southern Europe
Albania,1993,male,75+ years,1,24200,4.13,0.7766011477761837,1228071038,437,G.I. Generation,ALB,ALB,Europe,Southern Europe
Albania,1993,male,25-34 years,9,230100,3.91,0.7766011477761837,1228071038,437,Boomers,ALB,ALB,Europe,Southern Europe
Albania,1993,female,15-24 years,10,285300,3.51,0.7766011477761837,1228071038,437,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1993,male,35-54 years,10,350300,2.85,0.7766011477761837,1228071038,437,Boomers,ALB,ALB,Europe,Southern Europe
Albania,1993,female,25-34 years,7,261800,2.67,0.7766011477761837,1228071038,437,Boomers,ALB,ALB,Europe,Southern Europe
Albania,1993,female,35-54 years,7,331200,2.11,0.7766011477761837,1228071038,437,Boomers,ALB,ALB,Europe,Southern Europe
Albania,1993,female,55-74 years,2,169500,1.18,0.7766011477761837,1228071038,437,Silent,ALB,ALB,Europe,Southern Europe
Albania,1993,female,5-14 years,1,340300,0.29,0.7766011477761837,1228071038,437,Millenials,ALB,ALB,Europe,Southern Europe
Albania,1993,male,5-14 years,1,367000,0.27,0.7766011477761837,1228071038,437,Millenials,ALB,ALB,Europe,Southern Europe
Albania,1993,female,75+ years,0,39300,0.0,0.7766011477761837,1228071038,437,G.I. Generation,ALB,ALB,Europe,Southern Europe
Albania,1994,male,75+ years,2,24600,8.13,0.7766011477761837,1985673798,697,G.I. Generation,ALB,ALB,Europe,Southern Europe
Albania,1994,male,55-74 years,11,171400,6.42,0.7766011477761837,1985673798,697,Silent,ALB,ALB,Europe,Southern Europe
Albania,1994,female,75+ years,2,39900,5.01,0.7766011477761837,1985673798,697,G.I. Generation,ALB,ALB,Europe,Southern Europe
Albania,1994,male,25-34 years,6,231400,2.59,0.7766011477761837,1985673798,697,Boomers,ALB,ALB,Europe,Southern Europe
Albania,1994,male,35-54 years,9,362800,2.48,0.7766011477761837,1985673798,697,Boomers,ALB,ALB,Europe,Southern Europe
Albania,1994,male,15-24 years,6,242200,2.48,0.7766011477761837,1985673798,697,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1994,female,15-24 years,6,282600,2.12,0.7766011477761837,1985673798,697,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1994,female,25-34 years,4,261100,1.53,0.7766011477761837,1985673798,697,Boomers,ALB,ALB,Europe,Southern Europe
Albania,1994,female,35-54 years,2,342500,0.58,0.7766011477761837,1985673798,697,Boomers,ALB,ALB,Europe,Southern Europe
Albania,1994,female,55-74 years,1,174600,0.57,0.7766011477761837,1985673798,697,Silent,ALB,ALB,Europe,Southern Europe
Albania,1994,male,5-14 years,1,371800,0.27,0.7766011477761837,1985673798,697,Millenials,ALB,ALB,Europe,Southern Europe
Albania,1994,female,5-14 years,0,344400,0.0,0.7766011477761837,1985673798,697,Millenials,ALB,ALB,Europe,Southern Europe
Albania,1995,male,25-34 years,13,232900,5.58,0.619,2424499009,835,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1995,male,55-74 years,9,178000,5.06,0.619,2424499009,835,Silent,ALB,ALB,Europe,Southern Europe
Albania,1995,female,75+ years,2,40800,4.9,0.619,2424499009,835,G.I. Generation,ALB,ALB,Europe,Southern Europe
Albania,1995,female,15-24 years,13,283500,4.59,0.619,2424499009,835,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1995,male,15-24 years,11,241200,4.56,0.619,2424499009,835,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1995,male,75+ years,1,25100,3.98,0.619,2424499009,835,G.I. Generation,ALB,ALB,Europe,Southern Europe
Albania,1995,male,35-54 years,14,375900,3.72,0.619,2424499009,835,Boomers,ALB,ALB,Europe,Southern Europe
Albania,1995,female,25-34 years,7,264000,2.65,0.619,2424499009,835,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1995,female,35-54 years,8,356400,2.24,0.619,2424499009,835,Boomers,ALB,ALB,Europe,Southern Europe
Albania,1995,male,5-14 years,6,376500,1.59,0.619,2424499009,835,Millenials,ALB,ALB,Europe,Southern Europe
Albania,1995,female,55-74 years,2,180400,1.11,0.619,2424499009,835,Silent,ALB,ALB,Europe,Southern Europe
Albania,1995,female,5-14 years,2,348700,0.57,0.619,2424499009,835,Millenials,ALB,ALB,Europe,Southern Europe
Albania,1996,male,75+ years,2,25400,7.87,0.7766011477761837,3314898292,1127,G.I. Generation,ALB,ALB,Europe,Southern Europe
Albania,1996,male,15-24 years,17,243600,6.98,0.7766011477761837,3314898292,1127,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1996,male,25-34 years,14,235300,5.95,0.7766011477761837,3314898292,1127,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1996,female,15-24 years,16,287700,5.56,0.7766011477761837,3314898292,1127,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1996,female,75+ years,2,41200,4.85,0.7766011477761837,3314898292,1127,G.I. Generation,ALB,ALB,Europe,Southern Europe
Albania,1996,female,25-34 years,10,267900,3.73,0.7766011477761837,3314898292,1127,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1996,male,35-54 years,12,379600,3.16,0.7766011477761837,3314898292,1127,Boomers,ALB,ALB,Europe,Southern Europe
Albania,1996,female,35-54 years,9,362000,2.49,0.7766011477761837,3314898292,1127,Boomers,ALB,ALB,Europe,Southern Europe
Albania,1996,male,55-74 years,3,179900,1.67,0.7766011477761837,3314898292,1127,Silent,ALB,ALB,Europe,Southern Europe
Albania,1996,female,55-74 years,1,183100,0.55,0.7766011477761837,3314898292,1127,Silent,ALB,ALB,Europe,Southern Europe
Albania,1996,male,5-14 years,2,380400,0.53,0.7766011477761837,3314898292,1127,Millenials,ALB,ALB,Europe,Southern Europe
Albania,1996,female,5-14 years,1,354100,0.28,0.7766011477761837,3314898292,1127,Millenials,ALB,ALB,Europe,Southern Europe
Albania,1997,male,25-34 years,36,236000,15.25,0.7766011477761837,2359903108,793,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1997,male,15-24 years,33,244400,13.5,0.7766011477761837,2359903108,793,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1997,male,75+ years,3,25400,11.81,0.7766011477761837,2359903108,793,G.I. Generation,ALB,ALB,Europe,Southern Europe
Albania,1997,male,35-54 years,30,380800,7.88,0.7766011477761837,2359903108,793,Boomers,ALB,ALB,Europe,Southern Europe
Albania,1997,female,15-24 years,21,294000,7.14,0.7766011477761837,2359903108,793,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1997,male,55-74 years,12,180300,6.66,0.7766011477761837,2359903108,793,Silent,ALB,ALB,Europe,Southern Europe
Albania,1997,female,25-34 years,16,273900,5.84,0.7766011477761837,2359903108,793,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1997,female,75+ years,2,42100,4.75,0.7766011477761837,2359903108,793,G.I. Generation,ALB,ALB,Europe,Southern Europe
Albania,1997,female,35-54 years,7,370100,1.89,0.7766011477761837,2359903108,793,Boomers,ALB,ALB,Europe,Southern Europe
Albania,1997,female,5-14 years,6,361800,1.66,0.7766011477761837,2359903108,793,Millenials,ALB,ALB,Europe,Southern Europe
Albania,1997,male,5-14 years,4,381500,1.05,0.7766011477761837,2359903108,793,Millenials,ALB,ALB,Europe,Southern Europe
Albania,1997,female,55-74 years,0,187000,0.0,0.7766011477761837,2359903108,793,Silent,ALB,ALB,Europe,Southern Europe
Albania,1998,male,75+ years,3,25800,11.63,0.7766011477761837,2707123772,899,G.I. Generation,ALB,ALB,Europe,Southern Europe
Albania,1998,male,15-24 years,27,248800,10.85,0.7766011477761837,2707123772,899,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1998,female,15-24 years,32,295600,10.83,0.7766011477761837,2707123772,899,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1998,male,25-34 years,26,240400,10.82,0.7766011477761837,2707123772,899,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1998,male,35-54 years,29,388200,7.47,0.7766011477761837,2707123772,899,Boomers,ALB,ALB,Europe,Southern Europe
Albania,1998,male,55-74 years,9,183800,4.9,0.7766011477761837,2707123772,899,Silent,ALB,ALB,Europe,Southern Europe
Albania,1998,female,25-34 years,10,275300,3.63,0.7766011477761837,2707123772,899,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1998,female,55-74 years,6,188200,3.19,0.7766011477761837,2707123772,899,Silent,ALB,ALB,Europe,Southern Europe
Albania,1998,female,35-54 years,9,372100,2.42,0.7766011477761837,2707123772,899,Boomers,ALB,ALB,Europe,Southern Europe
Albania,1998,male,5-14 years,2,388400,0.51,0.7766011477761837,2707123772,899,Millenials,ALB,ALB,Europe,Southern Europe
Albania,1998,female,5-14 years,1,363800,0.27,0.7766011477761837,2707123772,899,Millenials,ALB,ALB,Europe,Southern Europe
Albania,1998,female,75+ years,0,42300,0.0,0.7766011477761837,2707123772,899,G.I. Generation,ALB,ALB,Europe,Southern Europe
Albania,1999,male,75+ years,3,25900,11.58,0.7766011477761837,3414760915,1127,G.I. Generation,ALB,ALB,Europe,Southern Europe
Albania,1999,male,15-24 years,24,250600,9.58,0.7766011477761837,3414760915,1127,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1999,female,75+ years,4,42400,9.43,0.7766011477761837,3414760915,1127,G.I. Generation,ALB,ALB,Europe,Southern Europe
Albania,1999,male,35-54 years,31,391100,7.93,0.7766011477761837,3414760915,1127,Boomers,ALB,ALB,Europe,Southern Europe
Albania,1999,male,25-34 years,19,242300,7.84,0.7766011477761837,3414760915,1127,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1999,male,55-74 years,14,185200,7.56,0.7766011477761837,3414760915,1127,Silent,ALB,ALB,Europe,Southern Europe
Albania,1999,female,15-24 years,19,296800,6.4,0.7766011477761837,3414760915,1127,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1999,female,25-34 years,13,276500,4.7,0.7766011477761837,3414760915,1127,Generation X,ALB,ALB,Europe,Southern Europe
Albania,1999,female,55-74 years,6,188800,3.18,0.7766011477761837,3414760915,1127,Silent,ALB,ALB,Europe,Southern Europe
Albania,1999,female,35-54 years,5,373600,1.34,0.7766011477761837,3414760915,1127,Boomers,ALB,ALB,Europe,Southern Europe
Albania,1999,female,5-14 years,1,365200,0.27,0.7766011477761837,3414760915,1127,Millenials,ALB,ALB,Europe,Southern Europe
Albania,1999,male,5-14 years,0,391300,0.0,0.7766011477761837,3414760915,1127,Millenials,ALB,ALB,Europe,Southern Europe
Albania,2000,male,25-34 years,17,232000,7.33,0.656,3632043908,1299,Generation X,ALB,ALB,Europe,Southern Europe
Albania,2000,male,55-74 years,10,177400,5.64,0.656,3632043908,1299,Silent,ALB,ALB,Europe,Southern Europe
Albania,2000,female,75+ years,2,37800,5.29,0.656,3632043908,1299,G.I. Generation,ALB,ALB,Europe,Southern Europe
Albania,2000,male,75+ years,1,24900,4.02,0.656,3632043908,1299,G.I. Generation,ALB,ALB,Europe,Southern Europe
Albania,2000,female,15-24 years,6,263900,2.27,0.656,3632043908,1299,Generation X,ALB,ALB,Europe,Southern Europe
Albania,2000,male,15-24 years,5,240000,2.08,0.656,3632043908,1299,Generation X,ALB,ALB,Europe,Southern Europe
Albania,2000,female,35-54 years,5,332200,1.51,0.656,3632043908,1299,Boomers,ALB,ALB,Europe,Southern Europe
Albania,2000,female,25-34 years,3,245800,1.22,0.656,3632043908,1299,Generation X,ALB,ALB,Europe,Southern Europe
Albania,2000,male,35-54 years,4,374700,1.07,0.656,3632043908,1299,Boomers,ALB,ALB,Europe,Southern Europe
Albania,2000,male,5-14 years,1,374900,0.27,0.656,3632043908,1299,Millenials,ALB,ALB,Europe,Southern Europe
Albania,2000,female,5-14 years,0,324700,0.0,0.656,3632043908,1299,Millenials,ALB,ALB,Europe,Southern Europe
Albania,2000,female,55-74 years,0,168000,0.0,0.656,3632043908,1299,Silent,ALB,ALB,Europe,Southern Europe
Albania,2001,male,25-34 years,22,206484,10.65,0.7766011477761837,4060758804,1451,Generation X,ALB,ALB,Europe,Southern Europe
Albania,2001,male,35-54 years,34,378826,8.98,0.7766011477761837,4060758804,1451,Boomers,ALB,ALB,Europe,Southern Europe
Albania,2001,male,55-74 years,11,196670,5.59,0.7766011477761837,4060758804,1451,Silent,ALB,ALB,Europe,Southern Europe
Albania,2001,female,75+ years,2,47254,4.23,0.7766011477761837,4060758804,1451,Silent,ALB,ALB,Europe,Southern Europe
Albania,2001,male,15-24 years,10,256039,3.91,0.7766011477761837,4060758804,1451,Millenials,ALB,ALB,Europe,Southern Europe
Albania,2001,female,15-24 years,9,271359,3.32,0.7766011477761837,4060758804,1451,Millenials,ALB,ALB,Europe,Southern Europe
Albania,2001,female,35-54 years,12,370191,3.24,0.7766011477761837,4060758804,1451,Boomers,ALB,ALB,Europe,Southern Europe
Albania,2001,male,75+ years,1,31044,3.22,0.7766011477761837,4060758804,1451,Silent,ALB,ALB,Europe,Southern Europe
Albania,2001,female,55-74 years,6,189799,3.16,0.7766011477761837,4060758804,1451,Silent,ALB,ALB,Europe,Southern Europe
Albania,2001,male,5-14 years,6,321556,1.87,0.7766011477761837,4060758804,1451,Millenials,ALB,ALB,Europe,Southern Europe
Albania,2001,female,25-34 years,4,222771,1.8,0.7766011477761837,4060758804,1451,Generation X,ALB,ALB,Europe,Southern Europe
Albania,2001,female,5-14 years,2,307356,0.65,0.7766011477761837,4060758804,1451,Millenials,ALB,ALB,Europe,Southern Europe
Albania,2002,male,75+ years,4,31007,12.9,0.7766011477761837,4435078648,1573,Silent,ALB,ALB,Europe,Southern Europe
Albania,2002,male,25-34 years,23,206286,11.15,0.7766011477761837,4435078648,1573,Generation X,ALB,ALB,Europe,Southern Europe
Albania,2002,male,35-54 years,35,382139,9.16,0.7766011477761837,4435078648,1573,Boomers,ALB,ALB,Europe,Southern Europe
Albania,2002,male,55-74 years,13,198130,6.56,0.7766011477761837,4435078648,1573,Silent,ALB,ALB,Europe,Southern Europe
Albania,2002,male,15-24 years,15,263067,5.7,0.7766011477761837,4435078648,1573,Millenials,ALB,ALB,Europe,Southern Europe
Albania,2002,female,15-24 years,14,275970,5.07,0.7766011477761837,4435078648,1573,Millenials,ALB,ALB,Europe,Southern Europe
Albania,2002,female,35-54 years,15,375113,4.0,0.7766011477761837,4435078648,1573,Boomers,ALB,ALB,Europe,Southern Europe
Albania,2002,female,25-34 years,7,223685,3.13,0.7766011477761837,4435078648,1573,Generation X,ALB,ALB,Europe,Southern Europe
Albania,2002,female,75+ years,1,47407,2.11,0.7766011477761837,4435078648,1573,Silent,ALB,ALB,Europe,Southern Europe
Albania,2002,female,55-74 years,4,191712,2.09,0.7766011477761837,4435078648,1573,Silent,ALB,ALB,Europe,Southern Europe
Albania,2002,female,5-14 years,1,304850,0.33,0.7766011477761837,4435078648,1573,Millenials,ALB,ALB,Europe,Southern Europe
Albania,2002,male,5-14 years,1,319473,0.31,0.7766011477761837,4435078648,1573,Millenials,ALB,ALB,Europe,Southern Europe
Albania,2003,female,75+ years,6,49088,12.22,0.7766011477761837,5746945913,2021,Silent,ALB,ALB,Europe,Southern Europe
Albania,2003,male,55-74 years,16,201520,7.94,0.7766011477761837,5746945913,2021,Silent,ALB,ALB,Europe,Southern Europe
Albania,2003,male,35-54 years,28,386196,7.25,0.7766011477761837,5746945913,2021,Boomers,ALB,ALB,Europe,Southern Europe
Albania,2003,male,15-24 years,15,273235,5.49,0.7766011477761837,5746945913,2021,Millenials,ALB,ALB,Europe,Southern Europe
Albania,2003,female,15-24 years,14,283709,4.93,0.7766011477761837,5746945913,2021,Millenials,ALB,ALB,Europe,Southern Europe
Albania,2003,female,55-74 years,9,195699,4.6,0.7766011477761837,5746945913,2021,Silent,ALB,ALB,Europe,Southern Europe
Albania,2003,male,25-34 years,9,205433,4.38,0.7766011477761837,5746945913,2021,Generation X,ALB,ALB,Europe,Southern Europe
Albania,2003,female,25-34 years,9,222941,4.04,0.7766011477761837,5746945913,2021,Generation X,ALB,ALB,Europe,Southern Europe
Albania,2003,female,35-54 years,13,381760,3.41,0.7766011477761837,5746945913,2021,Boomers,ALB,ALB,Europe,Southern Europe
Albania,2003,male,75+ years,1,32667,3.06,0.7766011477761837,5746945913,2021,Silent,ALB,ALB,Europe,Southern Europe
Albania,2003,male,5-14 years,4,313204,1.28,0.7766011477761837,5746945913,2021,Millenials,ALB,ALB,Europe,Southern Europe
Albania,2003,female,5-14 years,0,298477,0.0,0.7766011477761837,5746945913,2021,Millenials,ALB,ALB,Europe,Southern Europe
Albania,2004,male,75+ years,4,35526,11.26,0.7766011477761837,7314865176,2544,Silent,ALB,ALB,Europe,Southern Europe
Albania,2004,male,35-54 years,39,391767,9.95,0.7766011477761837,7314865176,2544,Boomers,ALB,ALB,Europe,Southern Europe
Albania,2004,male,25-34 years,16,203938,7.85,0.7766011477761837,7314865176,2544,Generation X,ALB,ALB,Europe,Southern Europe
Albania,2004,female,15-24 years,20,292268,6.84,0.7766011477761837,7314865176,2544,Millenials,ALB,ALB,Europe,Southern Europe
Albania,2004,male,15-24 years,19,286768,6.63,0.7766011477761837,7314865176,2544,Millenials,ALB,ALB,Europe,Southern Europe
Albania,2004,female,75+ years,3,50970,5.89,0.7766011477761837,7314865176,2544,Silent,ALB,ALB,Europe,Southern Europe
Albania,2004,female,25-34 years,11,222389,4.95,0.7766011477761837,7314865176,2544,Generation X,ALB,ALB,Europe,Southern Europe
Albania,2004,male,55-74 years,10,207202,4.83,0.7766011477761837,7314865176,2544,Silent,ALB,ALB,Europe,Southern Europe
Albania,2004,female,35-54 years,17,391436,4.34,0.7766011477761837,7314865176,2544,Boomers,ALB,ALB,Europe,Southern Europe
Albania,2004,female,55-74 years,3,203841,1.47,0.7766011477761837,7314865176,2544,Silent,ALB,ALB,Europe,Southern Europe
Albania,2004,female,5-14 years,3,286705,1.05,0.7766011477761837,7314865176,2544,Millenials,ALB,ALB,Europe,Southern Europe
Albania,2004,male,5-14 years,1,302181,0.33,0.7766011477761837,7314865176,2544,Millenials,ALB,ALB,Europe,Southern Europe
Albania,2005,female,15-24 years,0,281922,0.0,0.695,8158548717,2931,Millenials,ALB,ALB,Europe,Southern Europe
Albania,2005,female,25-34 years,0,190745,0.0,0.695,8158548717,2931,Generation X,ALB,ALB,Europe,Southern Europe
Albania,2005,female,35-54 years,0,386513,0.0,0.695,8158548717,2931,Boomers,ALB,ALB,Europe,Southern Europe
Albania,2005,female,5-14 years,0,276559,0.0,0.695,8158548717,2931,Millenials,ALB,ALB,Europe,Southern Europe
Albania,2005,female,55-74 years,0,210998,0.0,0.695,8158548717,2931,Silent,ALB,ALB,Europe,Southern Europe
Albania,2005,female,75+ years,0,53191,0.0,0.695,8158548717,2931,Silent,ALB,ALB,Europe,Southern Europe
Albania,2005,male,15-24 years,0,281675,0.0,0.695,8158548717,2931,Millenials,ALB,ALB,Europe,Southern Europe
Albania,2005,male,25-34 years,0,177519,0.0,0.695,8158548717,2931,Generation X,ALB,ALB,Europe,Southern Europe
Albania,2005,male,35-54 years,0,380242,0.0,0.695,8158548717,2931,Boomers,ALB,ALB,Europe,Southern Europe
Albania,2005,male,5-14 years,0,291367,0.0,0.695,8158548717,2931,Millenials,ALB,ALB,Europe,Southern Europe
Albania,2005,male,55-74 years,0,214118,0.0,0.695,8158548717,2931,Silent,ALB,ALB,Europe,Southern Europe
Albania,2005,male,75+ years,0,38471,0.0,0.695,8158548717,2931,Silent,ALB,ALB,Europe,Southern Europe
Albania,2006,female,15-24 years,0,283138,0.0,0.7766011477761837,8992642349,3235,Millenials,ALB,ALB,Europe,Southern Europe
Albania,2006,female,25-34 years,0,186391,0.0,0.7766011477761837,8992642349,3235,Generation X,ALB,ALB,Europe,Southern Europe
Albania,2006,female,35-54 years,0,388746,0.0,0.7766011477761837,8992642349,3235,Boomers,ALB,ALB,Europe,Southern Europe
Albania,2006,female,5-14 years,0,267316,0.0,0.7766011477761837,8992642349,3235,Millenials,ALB,ALB,Europe,Southern Europe
Albania,2006,female,55-74 years,0,215907,0.0,0.7766011477761837,8992642349,3235,Silent,ALB,ALB,Europe,Southern Europe
Albania,2006,female,75+ years,0,56011,0.0,0.7766011477761837,8992642349,3235,Silent,ALB,ALB,Europe,Southern Europe
Albania,2006,male,15-24 years,0,286679,0.0,0.7766011477761837,8992642349,3235,Millenials,ALB,ALB,Europe,Southern Europe
Albania,2006,male,25-34 years,0,174092,0.0,0.7766011477761837,8992642349,3235,Generation X,ALB,ALB,Europe,Southern Europe
Albania,2006,male,35-54 years,0,379076,0.0,0.7766011477761837,8992642349,3235,Boomers,ALB,ALB,Europe,Southern Europe
Albania,2006,male,5-14 years,0,282678,0.0,0.7766011477761837,8992642349,3235,Millenials,ALB,ALB,Europe,Southern Europe
Albania,2006,male,55-74 years,0,219360,0.0,0.7766011477761837,8992642349,3235,Silent,ALB,ALB,Europe,Southern Europe
Albania,2006,male,75+ years,0,40782,0.0,0.7766011477761837,8992642349,3235,Silent,ALB,ALB,Europe,Southern Europe
Albania,2007,male,75+ years,8,42366,18.88,0.7766011477761837,10701011897,3863,Silent,ALB,ALB,Europe,Southern Europe
